dataset,train,md=1,md=2,md=3,md=4,md=5,md=6,md=7,md=8,md=9,md=10
cnn_vgg19_128_avg.csv,70/30,0.65,0.65,0.6583333333333333,0.625,0.6166666666666667,0.625,0.625,0.6166666666666667,0.6166666666666667,0.6
cnn_vgg19_128_max.csv,70/30,0.6083333333333333,0.6333333333333333,0.6166666666666667,0.6666666666666666,0.6916666666666667,0.675,0.6333333333333333,0.6333333333333333,0.6416666666666667,0.6416666666666667
hog_128_20.csv,70/30,0.65,0.6166666666666667,0.6583333333333333,0.6833333333333333,0.7083333333333334,0.6666666666666666,0.6583333333333333,0.6916666666666667,0.6916666666666667,0.6833333333333333
hog_256_16.csv,70/30,0.6,0.6166666666666667,0.7,0.675,0.6916666666666667,0.7083333333333334,0.725,0.7,0.675,0.6666666666666666
cnn_vgg19_256_max.csv,70/30,0.625,0.6333333333333333,0.5333333333333333,0.6083333333333333,0.525,0.5666666666666667,0.5666666666666667,0.6083333333333333,0.6166666666666667,0.6083333333333333
cnn_vgg16_128_avg.csv,70/30,0.675,0.6666666666666666,0.625,0.65,0.675,0.6416666666666667,0.6083333333333333,0.6416666666666667,0.5833333333333334,0.5916666666666667
hog_128_16.csv,70/30,0.7083333333333334,0.7166666666666667,0.725,0.7083333333333334,0.7416666666666667,0.75,0.725,0.7166666666666667,0.7333333333333333,0.7333333333333333
hog_256_20.csv,70/30,0.6916666666666667,0.6916666666666667,0.6583333333333333,0.725,0.675,0.6916666666666667,0.6916666666666667,0.6916666666666667,0.7083333333333334,0.7083333333333334
cnn_vgg16_256_max.csv,70/30,0.4666666666666667,0.4666666666666667,0.48333333333333334,0.4666666666666667,0.5666666666666667,0.5583333333333333,0.5833333333333334,0.5583333333333333,0.575,0.55
cnn_vgg16_128_max.csv,70/30,0.65,0.6583333333333333,0.6916666666666667,0.6416666666666667,0.6666666666666666,0.625,0.6333333333333333,0.6583333333333333,0.65,0.65
cnn_vgg19_256_avg.csv,70/30,0.55,0.6,0.525,0.5583333333333333,0.6083333333333333,0.5666666666666667,0.5666666666666667,0.5583333333333333,0.475,0.5583333333333333
cnn_vgg16_256_avg.csv,70/30,0.5583333333333333,0.6,0.6083333333333333,0.675,0.6333333333333333,0.6083333333333333,0.675,0.6666666666666666,0.675,0.6583333333333333
