dataset,train,k=1,k=2,k=3,k=4,k=5,k=6,k=7,k=8,k=9,k=10
cnn_vgg19_128_avg.csv,70/30,0.625,0.5666666666666667,0.6166666666666667,0.6166666666666667,0.6333333333333333,0.6125,0.6291666666666667,0.625,0.6375,0.65
cnn_vgg19_128_max.csv,70/30,0.5833333333333334,0.525,0.6125,0.6208333333333333,0.6083333333333333,0.6208333333333333,0.625,0.6208333333333333,0.6416666666666667,0.6208333333333333
hog_128_20.csv,70/30,0.55,0.5875,0.5833333333333334,0.6083333333333333,0.5708333333333333,0.5791666666666667,0.5916666666666667,0.6,0.5833333333333334,0.6083333333333333
hog_256_16.csv,70/30,0.5416666666666666,0.5875,0.5625,0.6166666666666667,0.5708333333333333,0.5916666666666667,0.5625,0.5916666666666667,0.5583333333333333,0.5791666666666667
cnn_vgg19_256_max.csv,70/30,0.5,0.5291666666666667,0.5333333333333333,0.5291666666666667,0.5625,0.5583333333333333,0.5916666666666667,0.5916666666666667,0.6083333333333333,0.6375
cnn_vgg16_128_avg.csv,70/30,0.5791666666666667,0.6125,0.6291666666666667,0.6208333333333333,0.625,0.625,0.6166666666666667,0.6208333333333333,0.6125,0.6375
hog_128_16.csv,70/30,0.5416666666666666,0.5708333333333333,0.5583333333333333,0.5541666666666667,0.575,0.5666666666666667,0.575,0.6041666666666666,0.5916666666666667,0.6041666666666666
hog_256_20.csv,70/30,0.5333333333333333,0.5666666666666667,0.5666666666666667,0.5958333333333333,0.5958333333333333,0.625,0.5708333333333333,0.5875,0.5625,0.5875
cnn_vgg16_256_max.csv,70/30,0.5083333333333333,0.525,0.55,0.5291666666666667,0.5375,0.5416666666666666,0.55,0.5416666666666666,0.5916666666666667,0.5875
cnn_vgg16_128_max.csv,70/30,0.6458333333333334,0.6333333333333333,0.5875,0.6291666666666667,0.625,0.6125,0.6208333333333333,0.6208333333333333,0.6291666666666667,0.65
cnn_vgg19_256_avg.csv,70/30,0.5708333333333333,0.5625,0.6,0.5375,0.575,0.5666666666666667,0.575,0.5708333333333333,0.5916666666666667,0.5666666666666667
cnn_vgg16_256_avg.csv,70/30,0.5166666666666667,0.5166666666666667,0.5541666666666667,0.5416666666666666,0.5833333333333334,0.5833333333333334,0.5916666666666667,0.5583333333333333,0.5916666666666667,0.5875
